date,change_per,close,high,index,low,name,open,ticket,volume
2019-02-20,0.22,137100.0,138000.0,VN 30 (VNI30),136100.0,Cotec Construction JSC,136100.0,CTD,595200.0
2019-02-19,-2.01,136800.0,139800.0,VN 30 (VNI30),136800.0,Cotec Construction JSC,139500.0,CTD,1419900.0
2019-02-18,0.07,139600.0,140700.0,VN 30 (VNI30),139500.0,Cotec Construction JSC,139500.0,CTD,559600.0
2019-02-15,1.6,139500.0,140100.0,VN 30 (VNI30),137700.0,Cotec Construction JSC,138000.0,CTD,1017500.0
2019-02-14,2.54,137300.0,137700.0,VN 30 (VNI30),134800.0,Cotec Construction JSC,135000.0,CTD,2074100.0
2019-02-13,-0.52,133900.0,135700.0,VN 30 (VNI30),133500.0,Cotec Construction JSC,134600.0,CTD,1538700.0
2019-02-12,-0.52,134600.0,136600.0,VN 30 (VNI30),134000.0,Cotec Construction JSC,135300.0,CTD,822099.9999999999
2019-02-11,2.19,135300.0,135300.0,VN 30 (VNI30),132400.0,Cotec Construction JSC,133100.0,CTD,405900.00000000006
2019-02-01,-1.78,132400.0,135000.0,VN 30 (VNI30),132400.0,Cotec Construction JSC,134800.0,CTD,908100.0
2019-01-31,0.22,134800.0,135500.0,VN 30 (VNI30),133000.0,Cotec Construction JSC,134500.0,CTD,349200.0
2019-01-30,-1.32,134500.0,136000.0,VN 30 (VNI30),133000.0,Cotec Construction JSC,136000.0,CTD,637700.0
2019-01-29,-0.44,136300.0,137900.0,VN 30 (VNI30),135000.0,Cotec Construction JSC,137900.0,CTD,324099.99999999994
2019-01-28,4.11,136900.0,137000.0,VN 30 (VNI30),133000.0,Cotec Construction JSC,133000.0,CTD,697700.0
2019-01-25,0.0,131500.0,134000.0,VN 30 (VNI30),130500.0,Cotec Construction JSC,131500.0,CTD,2905299.9999999995
2019-01-24,-4.08,131500.0,139000.0,VN 30 (VNI30),130900.0,Cotec Construction JSC,137100.0,CTD,2130900.0
2019-01-23,-4.13,137100.0,142000.0,VN 30 (VNI30),137100.0,Cotec Construction JSC,142000.0,CTD,1579500.0
